date,product_type,product_name,unit,min_price,max_price,average_price,year,month,season
2014-01-17,SEBZE,KABAK TAZE,KG,1.5,2.6,2.05,2014,1,Winter
2014-01-17,SEBZE,PATLICAN UZUN,KG,2.0,3.8,2.9,2014,1,Winter
2014-01-17,SEBZE,SOGAN KURU,KG,0.25,0.6,0.43,2014,1,Winter
2014-01-17,SEBZE,DOMATES SALKIM,KG,1.5,3.8,2.65,2014,1,Winter
2014-01-17,SEBZE,SALATALIK SILOR,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-20,SEBZE,DOMATES SALKIM,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-20,SEBZE,SALATALIK SILOR,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-20,SEBZE,BIBER SIVRI,KG,1.5,3.3,2.4,2014,1,Winter
2014-01-20,SEBZE,KABAK TAZE,KG,1.5,2.5,2.0,2014,1,Winter
2014-01-20,SEBZE,PATLICAN UZUN,KG,1.5,3.3,2.4,2014,1,Winter
2014-01-20,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,1,Winter
2014-01-21,SEBZE,BIBER SIVRI,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-21,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-21,SEBZE,PATLICAN UZUN,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-21,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,1,Winter
2014-01-21,SEBZE,DOMATES SALKIM,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-21,SEBZE,SALATALIK SILOR,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-22,SEBZE,DOMATES SALKIM,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-22,SEBZE,SALATALIK SILOR,KG,1.5,3.3,2.4,2014,1,Winter
2014-01-22,SEBZE,BIBER SIVRI,KG,1.5,3.2,2.35,2014,1,Winter
2014-01-22,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-22,SEBZE,PATLICAN UZUN,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-22,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,1,Winter
2014-01-23,SEBZE,BIBER SIVRI,KG,1.5,3.2,2.35,2014,1,Winter
2014-01-23,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-23,SEBZE,PATLICAN UZUN,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-23,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,1,Winter
2014-01-23,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-23,SEBZE,SALATALIK SILOR,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-24,SEBZE,BIBER SIVRI,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-24,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-24,SEBZE,PATLICAN UZUN,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-24,SEBZE,SOGAN KURU,KG,0.25,0.5,0.38,2014,1,Winter
2014-01-24,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-24,SEBZE,SALATALIK SILOR,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-27,SEBZE,BIBER SIVRI,KG,2.0,4.0,3.0,2014,1,Winter
2014-01-27,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-27,SEBZE,PATLICAN UZUN,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-27,SEBZE,SOGAN KURU,KG,0.25,0.5,0.38,2014,1,Winter
2014-01-27,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-27,SEBZE,SALATALIK SILOR,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-28,SEBZE,BIBER SIVRI,KG,2.0,3.7,2.85,2014,1,Winter
2014-01-28,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-28,SEBZE,PATLICAN UZUN,KG,1.5,2.8,2.15,2014,1,Winter
2014-01-28,SEBZE,SOGAN KURU,KG,0.25,0.5,0.38,2014,1,Winter
2014-01-28,SEBZE,DOMATES SALKIM,KG,1.5,3.3,2.4,2014,1,Winter
2014-01-28,SEBZE,SALATALIK SILOR,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-29,SEBZE,DOMATES SALKIM,KG,1.5,3.3,2.4,2014,1,Winter
2014-01-29,SEBZE,SALATALIK SILOR,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-29,SEBZE,BIBER SIVRI,KG,2.0,3.9,2.95,2014,1,Winter
2014-01-29,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-29,SEBZE,PATLICAN UZUN,KG,1.5,3.0,2.25,2014,1,Winter
2014-01-29,SEBZE,SOGAN KURU,KG,0.25,0.5,0.38,2014,1,Winter
2014-01-30,SEBZE,BIBER SIVRI,KG,1.5,3.3,2.4,2014,1,Winter
2014-01-30,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-30,SEBZE,PATLICAN UZUN,KG,1.5,2.5,2.0,2014,1,Winter
2014-01-30,SEBZE,SOGAN KURU,KG,0.25,0.5,0.38,2014,1,Winter
2014-01-30,SEBZE,DOMATES SALKIM,KG,1.5,3.3,2.4,2014,1,Winter
2014-01-30,SEBZE,SALATALIK SILOR,KG,1.5,3.8,2.65,2014,1,Winter
2014-01-31,SEBZE,BIBER SIVRI,KG,1.5,3.5,2.5,2014,1,Winter
2014-01-31,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,1,Winter
2014-01-31,SEBZE,PATLICAN UZUN,KG,1.5,2.7,2.1,2014,1,Winter
2014-01-31,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,1,Winter
2014-01-31,SEBZE,DOMATES SALKIM,KG,1.5,3.3,2.4,2014,1,Winter
2014-01-31,SEBZE,SALATALIK SILOR,KG,1.5,4.0,2.75,2014,1,Winter
2014-02-03,SEBZE,BIBER SIVRI,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-03,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,2,Winter
2014-02-03,SEBZE,PATLICAN UZUN,KG,1.5,2.8,2.15,2014,2,Winter
2014-02-03,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-03,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-03,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,2,Winter
2014-02-04,SEBZE,BIBER SIVRI,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-04,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-04,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,2,Winter
2014-02-04,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-04,SEBZE,PATLICAN UZUN,KG,1.0,2.3,1.65,2014,2,Winter
2014-02-04,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-05,SEBZE,BIBER SIVRI,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-05,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-05,SEBZE,PATLICAN UZUN,KG,1.0,2.2,1.6,2014,2,Winter
2014-02-05,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-05,SEBZE,DOMATES SALKIM,KG,1.5,2.8,2.15,2014,2,Winter
2014-02-05,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,2,Winter
2014-02-06,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-06,SEBZE,DOMATES SALKIM,KG,1.5,2.8,2.15,2014,2,Winter
2014-02-06,SEBZE,SALATALIK SILOR,KG,2.0,4.5,3.25,2014,2,Winter
2014-02-06,SEBZE,BIBER SIVRI,KG,1.5,2.5,2.0,2014,2,Winter
2014-02-06,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-06,SEBZE,PATLICAN UZUN,KG,1.0,2.0,1.5,2014,2,Winter
2014-02-07,SEBZE,BIBER SIVRI,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-07,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,2,Winter
2014-02-07,SEBZE,PATLICAN UZUN,KG,1.0,2.4,1.7,2014,2,Winter
2014-02-07,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
