,product_name,year,district,planted_area,production_amount
101,DOMATES SALKIM,2018,İzmir(Ödemiş),6558,49971
102,DOMATES SALKIM,2019,İzmir(Bayındır),1000,6954
103,DOMATES SALKIM,2019,İzmir(Bergama),8787,87380
104,DOMATES SALKIM,2019,İzmir(Menderes),1550,5910
105,DOMATES SALKIM,2019,İzmir(Tire),1000,5050
106,DOMATES SALKIM,2019,İzmir(Torbalı),810,6075
107,DOMATES SALKIM,2019,İzmir(Ödemiş),6552,49266
108,DOMATES SALKIM,2020,İzmir(Bayındır),700,3500
109,DOMATES SALKIM,2020,İzmir(Bergama),8854,85810
110,DOMATES SALKIM,2020,İzmir(Menderes),4611,15010
111,DOMATES SALKIM,2020,İzmir(Tire),400,2020
112,DOMATES SALKIM,2020,İzmir(Torbalı),1165,7678
113,DOMATES SALKIM,2020,İzmir(Ödemiş),6000,45000
114,DOMATES SALKIM,2021,İzmir(Bayındır),500,2500
115,DOMATES SALKIM,2021,İzmir(Bergama),1854,34068
116,DOMATES SALKIM,2021,İzmir(Menderes),3833,12559
117,DOMATES SALKIM,2021,İzmir(Tire),796,4020
118,DOMATES SALKIM,2021,İzmir(Torbalı),1680,8963
119,DOMATES SALKIM,2021,İzmir(Ödemiş),2000,14000
120,DOMATES SALKIM,2022,İzmir(Bayındır),300,1507
121,DOMATES SALKIM,2022,İzmir(Bergama),1839,34754
122,DOMATES SALKIM,2022,İzmir(Menderes),2077,7057
123,DOMATES SALKIM,2022,İzmir(Tire),1165,5970
124,DOMATES SALKIM,2022,İzmir(Torbalı),1005,6138
125,DOMATES SALKIM,2022,İzmir(Ödemiş),3000,22606
126,DOMATES SALKIM,2023,İzmir(Bayındır),300,1507
127,DOMATES SALKIM,2023,İzmir(Bergama),1894,23954
128,DOMATES SALKIM,2023,İzmir(Menderes),1080,3790
129,DOMATES SALKIM,2023,İzmir(Tire),950,4845
130,DOMATES SALKIM,2023,İzmir(Torbalı),1305,6625
131,DOMATES SALKIM,2023,İzmir(Ödemiş),3500,35000
132,DOMATES SALKIM,2024,İzmir(Bayındır),1000,5000
133,DOMATES SALKIM,2024,İzmir(Bergama),11969,90970
134,DOMATES SALKIM,2024,İzmir(Menderes),1070,4680
135,DOMATES SALKIM,2024,İzmir(Tire),850,4335
136,DOMATES SALKIM,2024,İzmir(Torbalı),3276,18109
137,DOMATES SALKIM,2024,İzmir(Ödemiş),2000,16000
138,DOMATES SALKIM,2025,İzmir(Bayındır),785,5107
139,DOMATES SALKIM,2025,İzmir(Bergama),11268,90043
140,DOMATES SALKIM,2025,İzmir(Menderes),610,2457
141,DOMATES SALKIM,2025,İzmir(Tire),1650,10732
142,DOMATES SALKIM,2025,İzmir(Torbalı),6580,39597
143,DOMATES SALKIM,2025,İzmir(Ödemiş),2000,15010
144,SALATALIK SİLOR,2014,İzmir(Bayındır),5000,21500
145,SALATALIK SİLOR,2014,İzmir(Bergama),1404,2404
