year,TP_FG_J0
2014,242.01999999999998
2015,260.585
2016,280.84583333333336
2017,312.14416666666665
2018,363.125
2019,418.23583333333335
2020,469.59083333333336
2021,561.6141666666666
2022,967.7108333333334
2023,1488.9141666666667
2024,2360.025
2025,3183.2291666666665
2026,3683.83
