,URUN_ADI,ORTALAMA_FIYAT,YIL,SEZON
108,DOMATES  SALKIM,2.25,2014,Spring
109,SALATALIK  SİLOR,2.5,2014,Spring
110,SALATALIK  SİLOR,2.4,2014,Spring
111,KARPUZ,1.5,2014,Spring
112,DOMATES  SALKIM,2.25,2014,Spring
113,DOMATES  SALKIM,2.25,2014,Spring
114,SALATALIK  SİLOR,2.25,2014,Spring
115,KARPUZ,1.75,2014,Spring
116,DOMATES  SALKIM,2.25,2014,Spring
117,SALATALIK  SİLOR,2.15,2014,Spring
118,KARPUZ,1.75,2014,Spring
119,DOMATES  SALKIM,2.35,2014,Spring
120,SALATALIK  SİLOR,2.0,2014,Spring
121,KARPUZ,1.75,2014,Spring
122,DOMATES  SALKIM,2.35,2014,Spring
123,SALATALIK  SİLOR,2.0,2014,Spring
124,KARPUZ,1.75,2014,Spring
125,DOMATES  SALKIM,2.25,2014,Spring
126,SALATALIK  SİLOR,1.9,2014,Spring
127,KARPUZ,1.75,2014,Spring
128,DOMATES  SALKIM,2.25,2014,Spring
129,SALATALIK  SİLOR,2.0,2014,Spring
130,KARPUZ,1.75,2014,Spring
131,SALATALIK  SİLOR,2.25,2014,Spring
132,DOMATES  SALKIM,2.35,2014,Spring
133,KARPUZ,1.75,2014,Spring
134,KARPUZ,1.7,2014,Spring
135,DOMATES  SALKIM,2.25,2014,Spring
136,SALATALIK  SİLOR,2.25,2014,Spring
137,DOMATES  SALKIM,2.25,2014,Spring
138,SALATALIK  SİLOR,2.15,2014,Spring
139,KARPUZ,1.65,2014,Spring
140,SALATALIK  SİLOR,2.15,2014,Spring
141,DOMATES  SALKIM,2.25,2014,Spring
142,KARPUZ,1.5,2014,Spring
143,DOMATES  SALKIM,2.65,2014,Spring
144,SALATALIK  SİLOR,2.5,2014,Spring
145,KARPUZ,1.5,2014,Spring
146,DOMATES  SALKIM,2.5,2014,Spring
147,SALATALIK  SİLOR,2.15,2014,Spring
148,KARPUZ,1.5,2014,Spring
149,KARPUZ,1.38,2014,Spring
150,DOMATES  SALKIM,2.5,2014,Spring
151,SALATALIK  SİLOR,2.25,2014,Spring
152,DOMATES  SALKIM,2.5,2014,Spring
153,SALATALIK  SİLOR,2.25,2014,Spring
154,KARPUZ,1.38,2014,Spring
155,DOMATES  SALKIM,2.5,2014,Spring
156,SALATALIK  SİLOR,2.0,2014,Spring
157,KARPUZ,1.38,2014,Spring
158,KARPUZ,1.38,2014,Spring
159,DOMATES  SALKIM,2.5,2014,Spring
160,SALATALIK  SİLOR,2.0,2014,Spring
161,KARPUZ,1.2,2014,Spring
162,DOMATES  SALKIM,2.5,2014,Spring
163,SALATALIK  SİLOR,2.0,2014,Spring
164,DOMATES  SALKIM,2.5,2014,Spring
165,SALATALIK  SİLOR,1.65,2014,Spring
166,KARPUZ,1.25,2014,Spring
167,SALATALIK  SİLOR,1.5,2014,Spring
168,DOMATES  SALKIM,2.5,2014,Spring
169,KARPUZ,1.2,2014,Spring
170,DOMATES  SALKIM,2.25,2014,Spring
171,SALATALIK  SİLOR,1.5,2014,Spring
172,KARPUZ,1.2,2014,Spring
173,DOMATES  SALKIM,2.25,2014,Spring
174,SALATALIK  SİLOR,1.6,2014,Spring
175,KARPUZ,1.2,2014,Spring
176,DOMATES  SALKIM,2.25,2014,Spring
177,SALATALIK  SİLOR,1.5,2014,Spring
178,KARPUZ,1.05,2014,Spring
179,DOMATES  SALKIM,2.25,2014,Spring
180,SALATALIK  SİLOR,1.5,2014,Spring
181,KARPUZ,1.05,2014,Spring
182,DOMATES  SALKIM,2.25,2014,Spring
183,SALATALIK  SİLOR,1.5,2014,Spring
184,KARPUZ,1.0,2014,Spring
185,SALATALIK  SİLOR,1.5,2014,Spring
186,KARPUZ,1.0,2014,Spring
187,DOMATES  SALKIM,2.25,2014,Spring
188,DOMATES  SALKIM,2.25,2014,Spring
189,SALATALIK  SİLOR,1.28,2014,Spring
190,KARPUZ,1.0,2014,Spring
191,KARPUZ,1.1,2014,Spring
192,DOMATES  SALKIM,2.25,2014,Spring
193,SALATALIK  SİLOR,1.28,2014,Spring
194,DOMATES  SALKIM,2.25,2014,Spring
195,SALATALIK  SİLOR,1.28,2014,Spring
196,KARPUZ,1.05,2014,Spring
197,DOMATES  SALKIM,2.25,2014,Spring
198,SALATALIK  SİLOR,1.2,2014,Spring
199,KARPUZ,1.05,2014,Spring
200,DOMATES  SALKIM,1.75,2014,Spring
201,SALATALIK  SİLOR,1.35,2014,Spring
202,KARPUZ,1.0,2014,Spring
203,KARPUZ,1.05,2014,Spring
204,DOMATES  SALKIM,1.75,2014,Spring
205,SALATALIK  SİLOR,1.25,2014,Spring
206,DOMATES  SALKIM,1.75,2014,Spring
207,SALATALIK  SİLOR,1.25,2014,Spring
208,KARPUZ,1.0,2014,Spring
209,DOMATES  SALKIM,1.75,2014,Spring
210,SALATALIK  SİLOR,1.25,2014,Spring
211,KARPUZ,1.0,2014,Spring
212,DOMATES  SALKIM,1.75,2014,Spring
213,SALATALIK  SİLOR,1.25,2014,Spring
214,KARPUZ,0.95,2014,Spring
