_id,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
26,2024-01-02T00:00:00,MEYVE,ELMA GSMIT(İYİ TARIM),kg,10.0,45.0,27.5
27,2024-01-02T00:00:00,MEYVE,ELMA  GOLDEN,kg,6.0,27.0,16.5
28,2024-01-02T00:00:00,SEBZE,KAVUN  SERA,kg,10.0,27.0,18.5
29,2024-01-02T00:00:00,İTHAL,AVAKADO,adet,10.0,30.0,20
30,2024-01-02T00:00:00,İTHAL,ANANAS,adet,20.0,67.0,43.5
31,2024-01-02T00:00:00,İTHAL,MUZ  ITHAL,kg,20.0,70.0,45
32,2024-01-02T00:00:00,İTHAL,HINDISTAN CEVIZI,adet,10.0,45.0,27.5
33,2024-01-02T00:00:00,MEYVE,PORTAKAL   FINIKE,kg,10.0,17.0,13.5
34,2024-01-02T00:00:00,SEBZE,BROKOLI,kg,5.0,40.0,22.5
35,2024-01-02T00:00:00,MEYVE,CENNET ELMASI,kg,10.0,60.0,35
36,2024-01-02T00:00:00,MEYVE,PORTAKAL  SIKMALIK,kg,8.0,12.0,10
37,2024-01-02T00:00:00,MEYVE,MUŞMULA,kg,7.0,35.0,21
38,2024-01-02T00:00:00,SEBZE,Y.REYHAN,adet,4.0,25.0,14.5
39,2024-01-02T00:00:00,SEBZE,BAKLA,kg,7.0,40.0,23.5
40,2024-01-02T00:00:00,SEBZE,BORULCE,kg,25.0,60.0,42.5
41,2024-01-02T00:00:00,SEBZE,BİBER  SİVRİ,kg,10.0,50.0,30
42,2024-01-02T00:00:00,SEBZE,BİBER  DOLMA,kg,8.0,40.0,24
43,2024-01-02T00:00:00,SEBZE,FASULYE   AYSE,kg,10.0,70.0,40
44,2024-01-02T00:00:00,SEBZE,FASULYE   CALI,kg,10.0,55.0,32.5
45,2024-01-02T00:00:00,SEBZE,BARBUNYA TAZE,kg,20.0,50.0,35
46,2024-01-02T00:00:00,SEBZE,HAVUÇ,kg,5.0,14.0,9.5
47,2024-01-02T00:00:00,SEBZE,PATATES  CALMA,kg,5.0,20.0,12.5
48,2024-01-02T00:00:00,SEBZE,BİBER ÇARLİSTON,kg,10.0,30.0,20
49,2024-01-02T00:00:00,SEBZE,MARUL AYSBERG,adet,5.0,28.0,16.5
50,2024-01-02T00:00:00,SEBZE,MANTAR,kg,15.0,40.0,27.5
51,2024-01-02T00:00:00,SEBZE,SOĞAN   KIRMIZI,kg,10.0,35.0,22.5
52,2024-01-02T00:00:00,SEBZE,BİBER KIRMIZI,kg,13.0,44.0,28.5
53,2024-01-02T00:00:00,SEBZE,LAHANA  BEYAZ,kg,5.0,22.0,13.5
54,2024-01-02T00:00:00,SEBZE,PIRASA,kg,4.0,15.0,9.5
55,2024-01-02T00:00:00,SEBZE,PAZI,adet,4.0,18.0,11
56,2024-01-02T00:00:00,SEBZE,BİBER  KIL ACI,kg,10.0,50.0,30
57,2024-01-02T00:00:00,SEBZE,LAHANA  BURUKSEL,kg,10.0,40.0,25
58,2024-01-02T00:00:00,SEBZE,DOMATES (DİĞER),kg,7.0,40.0,23.5
59,2024-01-02T00:00:00,SEBZE,SALATALIK ,kg,8.0,35.0,21.5
60,2024-01-02T00:00:00,SEBZE,DOMATES  SALKIM,kg,12.0,40.0,26
61,2024-01-02T00:00:00,SEBZE,TURP  SIYAH,kg,3.0,12.0,7.5
62,2024-01-02T00:00:00,SEBZE,MARUL KIVIRCIK,adet,5.0,30.0,17.5
63,2024-01-02T00:00:00,SEBZE,YERELMASI,kg,5.0,18.0,11.5
64,2024-01-02T00:00:00,SEBZE,DENIZ BÖRÜLCESİ,adet,4.0,30.0,17
65,2024-01-02T00:00:00,İTHAL,MANGO,adet,10.0,50.0,30
66,2024-01-02T00:00:00,MEYVE,ARMUT  DEVECI,kg,10.0,40.0,25
67,2024-01-02T00:00:00,SEBZE,MARUL LOLOROSSO,adet,5.0,30.0,17.5
68,2024-01-02T00:00:00,SEBZE,BİBER CİN,kg,4.0,50.0,27
69,2024-01-02T00:00:00,SEBZE,DOMATES CHERRY,kg,8.0,40.0,24
70,2024-01-02T00:00:00,SEBZE,TURP  FINDIK,adet,5.0,12.0,8.5
71,2024-01-02T00:00:00,SEBZE,DOMATES  BEEF,kg,10.0,35.0,22.5
72,2024-01-02T00:00:00,MEYVE,KIVI  ,kg,10.0,50.0,30
73,2024-01-02T00:00:00,İTHAL,ZENCEFİL,kg,60.0,200.0,130
74,2024-01-02T00:00:00,İTHAL,BİBER KALİFORNİYA,kg,30.0,65.0,47.5
