TARIH;MAL_TURU;MAL_ADI;BIRIM;ASGARI_UCRET;AZAMI_UCRET;ORTALAMA_UCRET
2022-01-03;MEYVE;AYVA;kg;2;7;4.5
2022-01-03;MEYVE;ARMUT  S.MARIA;kg;9;12;10.5
2022-01-03;MEYVE;CILEK;kg;10;35;22.5
2022-01-03;MEYVE;ELMA  AMASYA;kg;2;6.5;4.25
2022-01-03;MEYVE;ELMA  STARKING;kg;3.5;6.5;5
2022-01-03;MEYVE;GREYFURT;kg;2;5.3;3.65
2022-01-03;SEBZE;KAVUN  TARLA;kg;2.5;5.5;4
2022-01-03;SEBZE;KARPUZ;kg;2;4.5;3.25
2022-01-03;MEYVE;NAR;kg;2;5.7;3.85
2022-01-03;MEYVE;KESTANE;kg;15;56;35.5
2022-01-03;MEYVE;MANDALİNA;kg;2;6.5;4.25
2022-01-03;MEYVE;MUZ  YERLI;kg;3;9;6
2022-01-03;MEYVE;ERIK ;kg;2.5;5;3.75
2022-01-03;MEYVE;PORTAKAL  ;kg;1;3;2
2022-01-03;İTHAL..;KIVI  İTHAL;kg;6;30;18
2022-01-03;MEYVE;LIMON  ;kg;1;2.5;1.75
2022-01-03;SEBZE;Y.MAYDONOZ;bağ;0.5;1;0.75
2022-01-03;SEBZE;Y.DEREOTU;bağ;0.5;1.35;0.93
2022-01-03;SEBZE;Y.ROKA;bağ;0.5;1.6;1.05
2022-01-03;SEBZE;Y.NANE;bağ;0.5;1.75;1.13
2022-01-03;MEYVE;ERIK  ANJELIKA;kg;13;15;14
2022-01-03;İTHAL..;ELMA GSMIT(İTHAL);kg;5;13;9
2022-01-03;MEYVE;ELMA  GOLDEN;kg;3;4;3.5
2022-01-03;MEYVE;ARMUT  ;kg;2.5;5;3.75
2022-01-03;İTHAL..;AVAKADO;adet;4;8;6
2022-01-03;İTHAL..;ANANAS;adet;10;22.2;16.1
2022-01-03;İTHAL..;MUZ  ITHAL;kg;6;24;15
2022-01-03;SEBZE;BROKOLI;kg;2;6;4
2022-01-03;MEYVE;CENNET ELMASI;kg;5;13;9
2022-01-03;SEBZE;BIBER  SIVRI;kg;4;13;8.5
2022-01-03;SEBZE;BIBER  DOLMA;kg;4;10;7
