TARIH;MAL_TURU;MAL_ADI;BIRIM;ASGARI_UCRET;AZAMI_UCRET;ORTALAMA_UCRET
2020-01-02;SEBZE;Y.NANE;BAĞ;0.40;0.75;0.58
2020-01-02;İTHAL..;ELMA GSMIT(İTHAL);KG;5;15;10
2020-01-02;MEYVE;ELMA  GOLDEN;KG;1.30;3.80;2.55
2020-01-02;MEYVE;ARMUT  MUHT;KG;1;3;2
2020-01-02;İTHAL..;AVAKADO;ADET;2;5;3.50
2020-01-02;İTHAL..;ANANAS;ADET;5;11;8
2020-01-02;İTHAL..;MUZ  ITHAL;KG;5;10;7.50
2020-01-02;İTHAL..;HINDISTAN CEVIZI;ADET;2.50;5;3.75
2020-01-02;SEBZE;BROKOLI;KG;0.90;3;1.95
2020-01-02;MEYVE;CENNET ELMASI;KG;3;7;5
2020-01-02;SEBZE;BAKLA;KG;2.50;7;4.75
2020-01-02;SEBZE;BIBER  SIVRI;KG;1.50;3.80;2.65
2020-01-02;SEBZE;BIBER  DOLMA;KG;2;5.50;3.75
2020-01-02;SEBZE;ENGINAR;ADET;2;4;3
2020-01-02;SEBZE;FASULYE   AYSE;KG;5;12;8.50
2020-01-02;SEBZE;FASULYE   CALI;KG;3.50;9;6.25
2020-01-02;SEBZE;FASULYE   BARBUN;KG;3.50;9.50;6.50
2020-01-02;SEBZE;HAVUC;KG;0.50;1.60;1.05
2020-01-02;SEBZE;ISPANAK;KG;0.70;2;1.35
2020-01-02;SEBZE;KABAK TAZE;KG;1.20;3;2.10
2020-01-02;SEBZE;KABAK  BAL;KG;0.80;2;1.40
2020-01-02;SEBZE;KEREVIZ;KG;0.70;2.30;1.50
2020-01-02;SEBZE;MARUL;ADET;0.80;2.20;1.50
2020-01-02;SEBZE;PATLICAN  UZUN;KG;1.50;4.30;2.90
2020-01-02;SEBZE;PATLICAN TOPAN;KG;2;5.30;3.65
2020-01-02;SEBZE;PATATES;KG;0.35;1.40;0.88
2020-01-02;SEBZE;PANCAR;KG;0.50;1.50;1
2020-01-02;SEBZE;SOGAN   TAZE;KG;4;8;6
2020-01-02;SEBZE;SOGAN   KURU;KG;0.70;2.10;1.40
2020-01-02;SEBZE;LAHANA  KIRMIZI;KG;0.40;1.20;0.80
2020-01-02;SEBZE;KARNABAHAR;KG;0.50;2;1.25
2020-01-02;SEBZE;TURP  KIRMIZI;KG;0.30;1.25;0.78
2020-01-02;MEYVE;DARI(ADET);ADET;0.25;0.65;0.45
2020-01-02;SEBZE;YAPRAK  SALAMURA;KG;6;10;8
2020-01-02;SEBZE;SARIMSAK  KURU;KG;13;30;21.50
2020-01-02;SEBZE;PATATES  CALMA;KG;0.70;1.60;1.15
2020-01-02;SEBZE;BIBER  TATLI(ÇARLİSTON);KG;1.30;3.50;2.40
2020-01-02;SEBZE;MARUL AYSBERG;ADET;0.80;2.50;1.65
2020-01-02;SEBZE;MANTAR;KG;4;9;6.50
2020-01-02;SEBZE;SOGAN   KIRMIZI;KG;1.80;4;2.90
2020-01-02;SEBZE;BIBER KIRMIZI;KG;3;6;4.50
2020-01-02;SEBZE;LAHANA  BEYAZ;KG;0.40;1;0.70
2020-01-02;SEBZE;PIRASA;KG;0.50;1.50;1
2020-01-02;SEBZE;PAZI;ADET;0.70;1.80;1.25
2020-01-02;SEBZE;BIBER  KIL ACI;KG;4;9.50;6.75
2020-01-02;SEBZE;DOMATES  SERA;KG;1.50;5.40;3.45
2020-01-02;SEBZE;SALATALIK  KASA;KG;1;3.50;2.25
2020-01-02;SEBZE;DOMATES  SALKIM;KG;3;7;5
2020-01-02;SEBZE;MARUL KIVIRCIK;ADET;0.80;2.20;1.50
2020-01-02;SEBZE;YERELMASI;KG;1;2.50;1.75
2020-01-02;SEBZE;DENIZ BÖRÜLCESİ;ADET;0.30;1.25;0.78
2020-01-02;İTHAL..;MANGO;ADET;6;8;7
2020-01-02;MEYVE;ARMUT  DEVECI;KG;1.80;6;3.90
2020-01-02;SEBZE;MARUL LOLOROSSO;ADET;0.90;2.50;1.70
2020-01-02;SEBZE;DOMATES CHERRY;KG;3;7.50;5.25
2020-01-02;SEBZE;DOMATES  BEEF;KG;2;6;4
2020-01-02;MEYVE;KIVI  YERLI;KG;3;8;5.50
2020-01-02;İTHAL..;ZENCEFİL;KG;12;20;16
2020-01-02;İTHAL..;ELMA STARKING(İTHAL);KG;5;14;9.50
2020-01-02;SEBZE;SALATALIK  SİLOR;KG;1.50;4.50;3
2020-01-02;MEYVE;LIMON  YENI (MAYER);KG;1.20;3.30;2.25
2020-01-02;İTHAL..;POMELO;ADET;7;10;8.50
2020-01-02;MEYVE;ELMA  ARJANTİN;KG;1.80;5;3.40
2020-01-02;İTHAL..;SARIMSAK  İTHAL;KG;15;30;22.50
2020-01-02;MEYVE;PORTAKAL WASHINGTON;KG;1.20;3.20;2.20
2020-01-02;MEYVE;ÜZÜM  SİYAH;KG;3.50;8;5.75
2020-01-02;MEYVE;ELMA MUHTELİF;KG;0.60;2.50;1.55
2020-01-02;SEBZE;MANTAR (PAKET 400GR);ADET;4.50;11.50;8
2020-01-02;SEBZE;DOMATES PEMBE;KG;3.50;7.50;5.50
2020-01-02;MEYVE;LIMON ENTER;KG;2.50;5;3.75
2020-01-02;MEYVE;AYVA;KG;2.50;5.20;3.85
2020-01-02;MEYVE;ARMUT  S.MARIA;KG;2.50;6.50;4.50
2020-01-02;MEYVE;CILEK;KG;5;12;8.50
2020-01-02;MEYVE;ELMA  AMASYA;KG;1.80;5;3.40
2020-01-02;MEYVE;ELMA  STARKING;KG;1.60;4.30;2.95
2020-01-02;MEYVE;GREYFURT;KG;0.60;2;1.30
2020-01-02;SEBZE;KAVUN  TARLA;KG;2;5;3.50
2020-01-02;MEYVE;NAR;KG;2;4.50;3.25
2020-01-02;MEYVE;KESTANE;KG;10;17;13.50
2020-01-02;MEYVE;MANDALİNA;KG;0.80;3;1.90
2020-01-02;MEYVE;MUZ  YERLI;KG;2.50;6.50;4.50
2020-01-02;MEYVE;PORTAKAL  MUHT;KG;0.60;2.50;1.55
2020-01-02;MEYVE;LIMON  DOKME;KG;0.60;2.30;1.45
2020-01-02;SEBZE;Y.MAYDONOZ;BAĞ;0.30;0.50;0.40
2020-01-02;SEBZE;Y.DEREOTU;BAĞ;0.30;0.50;0.40
2020-01-02;SEBZE;Y.ROKA;BAĞ;0.30;0.50;0.40
2020-01-02;SEBZE;Y.TERE;BAĞ;0.30;0.50;0.40
2020-01-03;SEBZE;PIRASA;KG;0.50;1.50;1
2020-01-03;SEBZE;PAZI;ADET;0.70;1.80;1.25
2020-01-03;SEBZE;BIBER  KIL ACI;KG;5;10;7.50
2020-01-03;SEBZE;DOMATES  SERA;KG;1.80;5.80;3.80
2020-01-03;SEBZE;SALATALIK  KASA;KG;1;3.50;2.25
2020-01-03;SEBZE;DOMATES  SALKIM;KG;3;7;5
2020-01-03;SEBZE;MARUL KIVIRCIK;ADET;0.80;2.20;1.50
2020-01-03;SEBZE;YERELMASI;KG;1;2.50;1.75
2020-01-03;SEBZE;DENIZ BÖRÜLCESİ;ADET;0.30;1.25;0.78
2020-01-03;MEYVE;ARMUT  DEVECI;KG;2;5.50;3.75
2020-01-03;SEBZE;MARUL LOLOROSSO;ADET;0.90;2.50;1.70
2020-01-03;SEBZE;DOMATES CHERRY;KG;3;7.50;5.25
2020-01-03;MEYVE;AYVA;KG;2.50;5;3.75
2020-01-03;MEYVE;ARMUT  S.MARIA;KG;2.50;7;4.75
2020-01-03;MEYVE;CILEK;KG;5;11;8
2020-01-03;MEYVE;ELMA  AMASYA;KG;1.80;5;3.40
2020-01-03;MEYVE;ELMA  STARKING;KG;1.60;4.30;2.95
2020-01-03;MEYVE;GREYFURT;KG;0.60;2;1.30
2020-01-03;SEBZE;KAVUN  TARLA;KG;2;5;3.50
2020-01-03;SEBZE;DOMATES  BEEF;KG;2;6;4
2020-01-03;MEYVE;KIVI  YERLI;KG;3;7;5
2020-01-03;İTHAL..;ELMA STARKING(İTHAL);KG;5;14;9.50
2020-01-03;SEBZE;SALATALIK  SİLOR;KG;1.30;4.30;2.80
2020-01-03;MEYVE;LIMON  YENI (MAYER);KG;1.20;3.50;2.35
2020-01-03;MEYVE;ELMA  ARJANTİN;KG;1.80;5;3.40
2020-01-03;İTHAL..;SARIMSAK  İTHAL;KG;15;30;22.50
2020-01-03;MEYVE;PORTAKAL WASHINGTON;KG;1.20;3.20;2.20
2020-01-03;MEYVE;ELMA MUHTELİF;KG;0.60;2.50;1.55
2020-01-03;SEBZE;MANTAR (PAKET 400GR);ADET;4.50;11.50;8
2020-01-03;SEBZE;DOMATES PEMBE;KG;4;8;6
2020-01-03;MEYVE;LIMON ENTER;KG;2.50;5;3.75
2020-01-03;MEYVE;NAR;KG;2;4;3
2020-01-03;MEYVE;KESTANE;KG;10;17;13.50
2020-01-03;MEYVE;MANDALİNA;KG;0.80;3;1.90
2020-01-03;MEYVE;MUZ  YERLI;KG;2.50;6.30;4.40
2020-01-03;MEYVE;PORTAKAL  MUHT;KG;0.60;2.50;1.55
2020-01-03;MEYVE;LIMON  DOKME;KG;0.60;2.30;1.45
2020-01-03;SEBZE;Y.MAYDONOZ;BAĞ;0.30;0.50;0.40
2020-01-03;SEBZE;Y.DEREOTU;BAĞ;0.30;0.50;0.40
2020-01-03;SEBZE;Y.ROKA;BAĞ;0.30;0.50;0.40
2020-01-03;SEBZE;Y.TERE;BAĞ;0.30;0.50;0.40
2020-01-03;SEBZE;Y.NANE;BAĞ;0.40;0.75;0.58
2020-01-03;İTHAL..;ELMA GSMIT(İTHAL);KG;5;15;10
2020-01-03;MEYVE;ELMA  GOLDEN;KG;1.30;3.80;2.55
2020-01-03;MEYVE;ARMUT  MUHT;KG;1;3;2
2020-01-03;İTHAL..;AVAKADO;ADET;2;5;3.50
2020-01-03;İTHAL..;ANANAS;ADET;5;11;8
2020-01-03;İTHAL..;MUZ  ITHAL;KG;5;10;7.50
2020-01-03;İTHAL..;HINDISTAN CEVIZI;ADET;2.50;5;3.75
2020-01-03;SEBZE;BROKOLI;KG;0.90;3;1.95
2020-01-03;MEYVE;CENNET ELMASI;KG;3;7.50;5.25
2020-01-03;SEBZE;BAKLA;KG;2.50;7;4.75
2020-01-03;SEBZE;BIBER  SIVRI;KG;1.50;3.80;2.65
2020-01-03;SEBZE;BIBER  DOLMA;KG;2;5.50;3.75
2020-01-03;SEBZE;ENGINAR;ADET;2;3.50;2.75
2020-01-03;SEBZE;FASULYE   AYSE;KG;5;12;8.50
2020-01-03;SEBZE;FASULYE   CALI;KG;3.50;9;6.25
2020-01-03;SEBZE;FASULYE   BARBUN;KG;3.50;9.50;6.50
2020-01-03;SEBZE;HAVUC;KG;0.50;1.60;1.05
2020-01-03;SEBZE;ISPANAK;KG;0.70;2;1.35
2020-01-03;SEBZE;KABAK TAZE;KG;1.20;3;2.10
2020-01-03;SEBZE;KABAK  BAL;KG;0.80;2;1.40
2020-01-03;SEBZE;KEREVIZ;KG;0.70;2.30;1.50
2020-01-03;SEBZE;MARUL;ADET;0.90;2.40;1.65
2020-01-03;SEBZE;PATLICAN  UZUN;KG;1.50;4.50;3
2020-01-03;SEBZE;PATLICAN TOPAN;KG;2;5.50;3.75
2020-01-03;SEBZE;PATATES;KG;0.35;1.40;0.88
2020-01-03;SEBZE;PANCAR;KG;0.50;1.50;1
2020-01-03;SEBZE;SOGAN   TAZE;KG;4;8;6
2020-01-03;SEBZE;SOGAN   KURU;KG;0.70;2.10;1.40
2020-01-03;SEBZE;LAHANA  KIRMIZI;KG;0.40;1.20;0.80
2020-01-03;SEBZE;KARNABAHAR;KG;0.50;2;1.25
2020-01-03;SEBZE;TURP  KIRMIZI;KG;0.30;1.25;0.78
2020-01-03;MEYVE;DARI(ADET);ADET;0.25;0.65;0.45
2020-01-03;SEBZE;YAPRAK  SALAMURA;KG;6;10;8
2020-01-03;SEBZE;SARIMSAK  KURU;KG;13;30;21.50
2020-01-03;SEBZE;PATATES  CALMA;KG;0.70;1.60;1.15
2020-01-03;SEBZE;BIBER  TATLI(ÇARLİSTON);KG;1.30;3.50;2.40
2020-01-03;SEBZE;MARUL AYSBERG;ADET;0.80;2.50;1.65
2020-01-03;SEBZE;MANTAR;KG;4;9;6.50
2020-01-03;SEBZE;SOGAN   KIRMIZI;KG;1.80;4;2.90
2020-01-03;SEBZE;BIBER KIRMIZI;KG;3;6.30;4.65
2020-01-03;SEBZE;LAHANA  BEYAZ;KG;0.40;1;0.70
2020-01-04;MEYVE;ELMA MUHTELİF;KG;0.60;2.50;1.55
2020-01-04;SEBZE;MANTAR (PAKET 400GR);ADET;4.50;11.50;8
2020-01-04;MEYVE;AYVA;KG;2.50;5;3.75
2020-01-04;MEYVE;ARMUT  S.MARIA;KG;2.50;7;4.75
2020-01-04;MEYVE;CILEK;KG;5;11;8
2020-01-04;MEYVE;ELMA  AMASYA;KG;1.80;5;3.40
2020-01-04;MEYVE;ELMA  STARKING;KG;1.50;4.30;2.90
2020-01-04;MEYVE;GREYFURT;KG;0.60;2;1.30
2020-01-04;SEBZE;KAVUN  TARLA;KG;2;5;3.50
2020-01-04;MEYVE;NAR;KG;1.50;4;2.75
2020-01-04;MEYVE;KESTANE;KG;10;17;13.50
2020-01-04;MEYVE;MANDALİNA;KG;0.50;3;1.75
2020-01-04;MEYVE;MUZ  YERLI;KG;2.50;6.30;4.40
2020-01-04;MEYVE;PORTAKAL  MUHT;KG;0.60;2.50;1.55
2020-01-04;MEYVE;LIMON  DOKME;KG;0.60;2.30;1.45
