TARIH;MAL_TURU;MAL_ADI;BIRIM;ASGARI_UCRET;AZAMI_UCRET;ORTALAMA_UCRET
2016-01-02;SEBZE;PAZI;ADET;0.60;1.50;1.05
2016-01-02;SEBZE;BIBER  KIL ACI;KG;3;7;5
2016-01-02;SEBZE;LAHANA  BURUKSEL;KG;1.50;3.50;2.50
2016-01-02;SEBZE;DOMATES  SERA;KG;1.50;4.20;2.85
2016-01-02;SEBZE;SALATALIK  KASA;KG;1;2.20;1.60
2016-01-02;SEBZE;DOMATES  SALKIM;KG;1.50;4.50;3
2016-01-02;SEBZE;MARUL KIVIRCIK;ADET;0.60;1.50;1.05
2016-01-02;SEBZE;YERELMASI;KG;0.60;1.30;0.95
2016-01-02;SEBZE;DENIZ BÖRÜLCESİ;ADET;0.25;0.60;0.43
2016-01-02;MEYVE;ARMUT  DEVECI;KG;1.50;3.50;2.50
2016-01-02;SEBZE;MARUL LOLOROSSO;ADET;0.70;1.80;1.25
2016-01-02;SEBZE;DOMATES CHERRY;KG;2.50;4.80;3.65
2016-01-02;MEYVE;KIVI  YERLI;KG;1.50;4;2.75
2016-01-02;MEYVE;ÜZÜM  RED GLOBE;KG;2;4.50;3.25
2016-01-02;İTHAL..;ELMA STARKING(İTHAL);KG;2;4.50;3.25
2016-01-02;SEBZE;SALATALIK  SİLOR;KG;1.50;3.30;2.40
2016-01-02;MEYVE;ELMA  ARJANTİN;KG;0.75;2.60;1.68
2016-01-02;İTHAL..;SARIMSAK  İTHAL;KG;10;16;13
2016-01-02;MEYVE;PORTAKAL WASHINGTON;KG;0.70;1.80;1.25
2016-01-02;İTHAL..;AVAKADO;ADET;0.75;2;1.38
2016-01-02;İTHAL..;ANANAS;ADET;4;6;5
2016-01-02;MEYVE;ARMUT  MUHT;KG;0.50;1.20;0.85
2016-01-02;MEYVE;AYVA;KG;0.80;3.50;2.15
2016-01-02;MEYVE;ARMUT  S.MARIA;KG;1.50;3;2.25
2016-01-02;MEYVE;ELMA  II;KG;0.40;1.20;0.80
2016-01-02;MEYVE;CILEK;KG;3.50;9;6.25
2016-01-02;MEYVE;ELMA  AMASYA;KG;1.50;3;2.25
2016-01-02;MEYVE;ELMA  STARKING;KG;1;3;2
2016-01-02;MEYVE;GREYFURT;KG;0.50;1.40;0.95
2016-01-02;SEBZE;KAVUN  TARLA;KG;1.50;3.80;2.65
2016-01-02;MEYVE;NAR;KG;0.60;2;1.30
2016-01-02;MEYVE;KESTANE;KG;5;10;7.50
2016-01-02;MEYVE;MANDALİNA;KG;0.25;1.50;0.88
2016-01-02;MEYVE;MUZ  YERLI;KG;1.50;3.50;2.50
2016-01-02;MEYVE;ÜZÜM  SİYAH  ENFS;KG;4;8;6
2016-01-02;MEYVE;ERIK MUHTELİF;KG;1.50;3;2.25
2016-01-02;MEYVE;PORTAKAL  MUHT;KG;0.40;1.20;0.80
2016-01-02;İTHAL..;KIVI  İTHAL;KG;3;6;4.50
2016-01-02;MEYVE;LIMON  KASA;KG;1.50;3;2.25
2016-01-02;MEYVE;LIMON  DOKME;KG;0.60;2.60;1.60
2016-01-02;SEBZE;Y.MAYDONOZ;BAĞ;0.15;0.35;0.25
2016-01-02;SEBZE;Y.DEREOTU;BAĞ;0.15;0.35;0.25
2016-01-02;SEBZE;Y.ROKA;BAĞ;0.15;0.35;0.25
2016-01-02;SEBZE;Y.TERE;BAĞ;0.15;0.35;0.25
2016-01-02;SEBZE;Y.NANE;BAĞ;0.25;0.60;0.43
2016-01-02;MEYVE;ERIK  ANJELIKA;KG;2.50;5;3.75
2016-01-02;İTHAL..;ELMA GSMIT(İTHAL);KG;2;4.50;3.25
2016-01-02;MEYVE;ELMA  GOLDEN;KG;0.80;2.30;1.55
2016-01-02;İTHAL..;MUZ  ITHAL;KG;2.50;5.50;4
2016-01-02;İTHAL..;HINDISTAN CEVIZI;ADET;1.50;3;2.25
2016-01-02;SEBZE;BROKOLI;KG;1;3;2
2016-01-02;MEYVE;CENNET ELMASI;KG;1.50;3.80;2.65
2016-01-02;MEYVE;MUŞMULA;KG;1.50;4;2.75
2016-01-02;MEYVE;ÜZÜM  MUHT;KG;1.50;3;2.25
2016-01-02;SEBZE;BAKLA;KG;2;4.50;3.25
2016-01-02;SEBZE;BIBER  SIVRI;KG;1;3.50;2.25
2016-01-02;SEBZE;BIBER  DOLMA;KG;1.50;3.50;2.50
2016-01-02;SEBZE;ENGINAR;ADET;1.50;3.50;2.50
2016-01-02;SEBZE;FASULYE   AYSE;KG;4;9;6.50
2016-01-02;SEBZE;FASULYE   CALI;KG;4;9;6.50
2016-01-02;SEBZE;FASULYE   BARBUN;KG;3;7;5
2016-01-02;SEBZE;HAVUC;KG;0.40;1.30;0.85
2016-01-02;SEBZE;ISPANAK;KG;0.70;1.80;1.25
2016-01-02;SEBZE;KABAK TAZE;KG;1.50;3;2.25
2016-01-02;SEBZE;KABAK  BAL;KG;0.50;1.50;1
2016-01-02;SEBZE;KEREVIZ;KG;0.60;1.60;1.10
2016-01-02;SEBZE;MARUL;ADET;0.70;1.80;1.25
2016-01-02;SEBZE;PATLICAN  UZUN;KG;1.50;4.30;2.90
2016-01-02;SEBZE;PATLICAN TOPAN;KG;1.50;4.30;2.90
2016-01-02;SEBZE;PATATES;KG;0.30;0.80;0.55
2016-01-02;SEBZE;PANCAR;KG;0.50;1;0.75
2016-01-02;SEBZE;SOGAN   TAZE;KG;3;8;5.50
2016-01-02;SEBZE;SOGAN   KURU;KG;0.40;1.50;0.95
2016-01-02;SEBZE;LAHANA  KIRMIZI;KG;0.70;1.50;1.10
2016-01-02;SEBZE;KARNABAHAR;KG;1;3;2
2016-01-02;SEBZE;TURP  KIRMIZI;KG;0.50;1;0.75
2016-01-02;SEBZE;SARIMSAK  KURU;KG;4;13;8.50
2016-01-02;SEBZE;PATATES  CALMA;KG;0.90;1.50;1.20
2016-01-02;SEBZE;BIBER  TATLI(ÇARLİSTON);KG;0.80;2.50;1.65
2016-01-02;SEBZE;MARUL AYSBERG;ADET;1;2.50;1.75
2016-01-02;SEBZE;MANTAR;KG;3;6;4.50
2016-01-02;SEBZE;SOGAN   KIRMIZI;KG;1;2.50;1.75
2016-01-02;SEBZE;BIBER KIRMIZI;KG;1.50;3.50;2.50
2016-01-02;SEBZE;LAHANA  BEYAZ;KG;0.60;1.20;0.90
2016-01-02;SEBZE;PIRASA;KG;0.50;1.40;0.95
2016-01-03;SEBZE;PANCAR;KG;0.50;1;0.75
2016-01-03;SEBZE;SOGAN   TAZE;KG;3;8;5.50
2016-01-03;SEBZE;SOGAN   KURU;KG;0.40;1.50;0.95
2016-01-03;SEBZE;LAHANA  KIRMIZI;KG;0.70;1.50;1.10
2016-01-03;SEBZE;KARNABAHAR;KG;1;3;2
2016-01-03;SEBZE;TURP  KIRMIZI;KG;0.50;1;0.75
2016-01-03;SEBZE;SARIMSAK  KURU;KG;4;13;8.50
2016-01-03;SEBZE;PATATES  CALMA;KG;0.90;1.50;1.20
2016-01-03;SEBZE;BIBER  TATLI(ÇARLİSTON);KG;0.80;2.50;1.65
2016-01-03;SEBZE;MARUL AYSBERG;ADET;1;2.50;1.75
2016-01-03;SEBZE;MANTAR;KG;3;6;4.50
2016-01-03;SEBZE;SOGAN   KIRMIZI;KG;1;2.50;1.75
2016-01-03;SEBZE;BIBER KIRMIZI;KG;1.50;3.50;2.50
2016-01-03;SEBZE;LAHANA  BEYAZ;KG;0.60;1.20;0.90
2016-01-03;SEBZE;PIRASA;KG;0.50;1.40;0.95
2016-01-03;SEBZE;PAZI;ADET;0.60;1.50;1.05
2016-01-03;SEBZE;BIBER  KIL ACI;KG;3;7;5
2016-01-03;SEBZE;LAHANA  BURUKSEL;KG;1.50;3.50;2.50
2016-01-03;SEBZE;DOMATES  SERA;KG;1.50;4.20;2.85
2016-01-03;MEYVE;AYVA;KG;0.80;3.50;2.15
2016-01-03;MEYVE;ARMUT  S.MARIA;KG;1.50;3;2.25
2016-01-03;SEBZE;SALATALIK  KASA;KG;1;2.20;1.60
2016-01-03;SEBZE;DOMATES  SALKIM;KG;1.50;4.50;3
2016-01-03;SEBZE;MARUL KIVIRCIK;ADET;0.60;1.50;1.05
2016-01-03;SEBZE;YERELMASI;KG;0.60;1.30;0.95
2016-01-03;SEBZE;DENIZ BÖRÜLCESİ;ADET;0.25;0.60;0.43
2016-01-03;MEYVE;ARMUT  DEVECI;KG;1.50;3.50;2.50
2016-01-03;SEBZE;MARUL LOLOROSSO;ADET;0.70;1.80;1.25
