product_name,year,season,actual_price,predicted_price,absolute_error,percentage_error
BAKLA,2026,Spring,62.31,22.97009862920524,39.33990137079476,63.13577494911693
BAKLA,2026,Summer,40.0,25.597080181240894,14.402919818759106,36.00729954689776
BEZELYE,2026,Winter,31.67,26.319873555199152,5.35012644480085,16.893357893277074
BEZELYE,2026,Spring,60.69,33.55069468785058,27.139305312149418,44.71791944661298
BEZELYE,2026,Summer,42.5,27.79203261091995,14.70796738908005,34.60698209195306
BIBER SIVRI,2026,Winter,45.33,35.636038364728975,9.693961635271023,21.38531135069716
BIBER SIVRI,2026,Spring,86.3,34.80529836612307,51.49470163387693,59.66941093149123
BIBER SIVRI,2026,Summer,51.35,32.33576185404108,19.01423814595892,37.02870135532409
BROKOLI,2026,Winter,38.75,36.76927690406533,1.980723095934671,5.111543473379796
BROKOLI,2026,Spring,62.6,35.04085550394589,27.55914449605411,44.02419248570944
BROKOLI,2026,Summer,89.55,33.18124451504647,56.368755484953525,62.9466839586304
DOMATES SALKIM,2026,Winter,50.48,32.921151769314534,17.558848230685463,34.78377224779212
DOMATES SALKIM,2026,Spring,73.25,34.04529389722854,39.20470610277146,53.52178307545592
DOMATES SALKIM,2026,Summer,30.2,29.533267690889023,0.6667323091109765,2.2077228778509155
ISPANAK,2026,Winter,25.46,25.130812389654587,0.3291876103454143,1.2929599777903156
ISPANAK,2026,Spring,41.58,22.497460254935874,19.082539745064125,45.893553980433204
ISPANAK,2026,Summer,74.3,25.960257267077697,48.3397427329223,65.06021902142976
KABAK TAZE,2026,Winter,55.95,27.708309022761732,28.24169097723827,50.476659476744004
KABAK TAZE,2026,Spring,41.37,27.69674962064739,13.673250379352606,33.05112491987577
KABAK TAZE,2026,Summer,26.15,24.680671726889482,1.4693282731105164,5.618846168682663
KARNABAHAR,2026,Winter,19.28,29.822836791736542,10.54283679173654,54.68276344261691
KARNABAHAR,2026,Spring,31.4,22.527979868679743,8.872020131320255,28.254841182548585
KARNABAHAR,2026,Summer,58.5,30.864783466556233,27.635216533443767,47.23968638195516
KARPUZ,2026,Winter,30.08,20.26481023766806,9.81518976233194,32.63028511413545
KARPUZ,2026,Spring,50.31,27.353611316483033,22.95638868351697,45.629872159644144
KARPUZ,2026,Summer,16.88,16.033241168618982,0.8467588313810168,5.016343787802232
LAHANA BEYAZ,2026,Winter,13.85,18.971269215393498,5.121269215393498,36.97667303533212
LAHANA BEYAZ,2026,Spring,20.35,15.30741094378688,5.042589056213121,24.779307401538674
LAHANA BEYAZ,2026,Summer,29.2,16.712103710959987,12.487896289040012,42.766768113150725
LAHANA KIRMIZI,2026,Winter,16.86,21.968675136205007,5.108675136205008,30.300564271678574
LAHANA KIRMIZI,2026,Spring,55.55,20.599771175516857,34.95022882448314,62.916703554425105
LAHANA KIRMIZI,2026,Summer,36.75,21.46447474200321,15.285525257996792,41.59326600815454
MARUL,2026,Winter,19.54,21.242868153504382,1.702868153504383,8.714780724178011
MARUL,2026,Spring,44.08,18.396940066578203,25.683059933421795,58.26465502137431
MARUL,2026,Summer,23.7,20.635112969032825,3.0648870309671743,12.932012788891031
PATLICAN UZUN,2026,Winter,54.21,29.884168074383577,24.325831925616423,44.87332950676337
PATLICAN UZUN,2026,Spring,54.86,30.073043099292136,24.786956900707864,45.18220361047733
PATLICAN UZUN,2026,Summer,29.3,25.80515357794105,3.494846422058952,11.927803488255808
PIRASA,2026,Winter,23.05,22.387503955113587,0.6624960448864137,2.874169392131946
PIRASA,2026,Spring,28.22,21.385328868908,6.834671131091998,24.219245680694538
PIRASA,2026,Summer,34.14,25.27103999432363,8.86896000567637,25.978207397997572
SALATALIK SILOR,2026,Winter,70.95,29.404164254939776,41.54583574506023,58.556498583594404
SALATALIK SILOR,2026,Spring,48.32,30.757993230077354,17.562006769922647,36.34521268609819
SALATALIK SILOR,2026,Summer,26.9,26.63361922777181,0.2663807722281888,0.9902630937850885
