product_name,row_count,actual_avg_price,predicted_avg_price,mae,rmse,mape_percent,r2
ISPANAK,4,26.8275,26.600537032848376,2.5636809148046806,2.8406535607925396,9.557870394261755,-13.768986426188077
MARUL,4,20.375,21.26658772731834,1.9265144499948788,2.1268267506790117,9.793159238984401,-0.9115683718017789
DOMATES SALKIM,4,34.09,33.75905022755076,3.469945392904471,4.293447424809765,9.991790922054056,0.193328645557715
PIRASA,4,22.8025,22.772684318405403,2.4635553083763417,2.5911360149181797,10.831715078877394,-2.3124916686421164
LAHANA BEYAZ,4,16.9875,17.30894802208524,2.084000868723996,2.370597805667614,12.029317688476336,-6.280214344108249
BROKOLI,4,38.129999999999995,32.92226713410944,5.841728333395647,6.605590448452582,14.612992638735125,-1.4549450553868741
KARNABAHAR,4,32.7775,27.36252715829006,5.414972841709942,6.237993637780129,16.56717056619817,-2.937833651153588
LAHANA KIRMIZI,4,22.215000000000003,19.35159836976469,4.390152570027222,6.245228076440358,17.773335685226115,-2.088743249455764
PATLICAN UZUN,4,32.9125,31.079493179472905,6.549325267855776,7.037867177725912,19.557884360758827,0.11349267550522246
KARPUZ,4,18.8575,21.50950772675615,2.729835620360238,4.226987654887496,19.99898803037112,0.3867118901269583
SALATALIK SILOR,4,30.085,32.095927718202624,5.767071876870937,6.218344341102884,21.017500688437135,-0.4539488624104049
BEZELYE,4,27.4375,31.519131849076093,5.1289073049215,6.595469427276398,21.52323615908591,-0.8422288938349491
KABAK TAZE,4,28.847500000000004,30.714100880297675,6.105971278610159,6.926573271786051,22.562435138462277,-1.266274674330167
BIBER SIVRI,4,48.6875,34.66278176823282,14.024718231767176,17.623236055440607,25.13187630937754,-1.600822592891943
BAKLA,1,45.65,30.668765070629085,14.981234929370913,14.981234929370913,32.817601159629604,
