product_name,row_count,actual_avg_price,predicted_avg_price,mae,rmse,mape_percent,r2
PIRASA,3,28.47,21.915870629951357,6.554129370048642,7.239038807454404,22.007705510409778,-1.5526329657414721
MARUL,3,29.106666666666666,21.52490107532437,9.837810988118472,15.159353188507765,24.819102515052467,-0.9985801984007185
KABAK TAZE,3,41.156666666666666,27.352285020873946,14.847280777543338,19.426918220287636,29.97854787681521,-1.5495279645905922
BEZELYE,3,44.95333333333334,29.417683304155627,15.535650029177704,19.407731138913444,30.025950850204584,-1.6271979545959145
DOMATES SALKIM,3,51.309999999999995,31.18302102206947,20.197979407250994,26.31279749753241,31.56668142399768,-1.2390044379721767
LAHANA BEYAZ,3,21.133333333333336,16.21319013446876,7.229768451118207,8.023899712315474,32.303583666477415,-0.6267682009564064
PATLICAN UZUN,3,46.123333333333335,28.435123802446018,17.688209530887317,21.613212120530005,32.687885513049814,-2.2993506609668897
SALATALIK SILOR,3,48.723333333333336,29.95360026632545,20.963615925987174,27.151819482839926,35.42918383792985,-1.2790197238870662
BIBER SIVRI,3,60.99333333333333,35.73601130207703,25.257322031256297,31.1148939307361,36.630424540357616,-1.9674344213214758
LAHANA KIRMIZI,3,36.38666666666666,20.898823530892994,16.98052772477907,22.971727937127838,36.82803918987885,-1.114590295515661
BROKOLI,3,63.633333333333326,34.5601083651157,29.07322496821763,36.703284100441024,37.86379137613196,-2.1282029673675216
ISPANAK,3,47.11333333333332,23.96801849290959,23.14531484042374,30.23887654759116,38.99152006926388,-1.2147344952148451
BAKLA,2,51.155,27.573628038827785,23.581371961172216,25.704077953930877,43.82154463964992,-4.309637966478665
KARPUZ,3,32.42333333333333,23.67212069254408,14.507673132229115,15.903482345361613,45.20003970731006,-0.33815955952999155
KARNABAHAR,3,36.39333333333334,25.169809830301116,17.322681489474608,19.703487888525128,46.28804179490171,-0.4441117710802389
