product_name,row_count,actual_avg_price,predicted_avg_price,mae,rmse,mape_percent,r2
PIRASA,3,28.47,23.01462427278174,5.455375727218261,6.475854694220152,17.690540823608018,-1.0427760378185211
MARUL,3,29.106666666666666,20.091640396371805,10.150271705964451,14.965659134660548,26.637149511481116,-0.9478339712417954
KARPUZ,3,32.42333333333333,21.217220907590022,11.206112425743308,14.422791361566288,27.75883368719394,-0.10058117715543835
KABAK TAZE,3,41.156666666666666,26.695243456766203,14.461423209900465,18.135690509457216,29.715543521767483,-1.2218776869983716
DOMATES SALKIM,3,51.309999999999995,32.16657111914403,19.143428880855968,24.804345477926137,30.171092733699652,-0.9896489213736483
SALATALIK SILOR,3,48.723333333333336,28.93192557092965,19.79140776240369,26.041962984499627,31.96399145449256,-1.0965134028078922
BEZELYE,3,44.95333333333334,29.220866951323227,15.732466382010108,18.08765739871309,32.0727531439477,-1.2819593813769647
PATLICAN UZUN,3,46.123333333333335,28.587454917205587,17.535878416127748,20.152363656112954,33.994445535165504,-1.868413957351346
LAHANA BEYAZ,3,21.133333333333336,16.996927956713456,7.550584853548877,8.318706960663954,34.840916183340504,-0.7485028410746652
BROKOLI,3,63.633333333333326,34.99712564101923,28.636207692314102,36.24392502778747,37.36080663923988,-2.0503910615785297
ISPANAK,3,47.11333333333332,24.529509970556052,22.58382336277728,30.00545736522981,37.41557765988443,-1.1806746149816996
BIBER SIVRI,3,60.99333333333333,34.25903286163104,26.734300471702294,32.18290664736667,39.36114121250416,-2.174643855085827
KARNABAHAR,3,36.39333333333334,27.738533375657507,15.683357818833521,17.82852902586254,43.392430335706884,-0.18234878734024806
LAHANA KIRMIZI,3,36.38666666666666,21.34430701790836,18.44814307289498,22.220593593510422,44.93684461141941,-0.9785645303578248
BAKLA,2,51.155,24.28358940522307,26.871410594776933,29.623233611216918,49.571537248007346,-6.052218792928475
