product_name,row_count,actual_avg_price,predicted_avg_price,mae,rmse,mape_percent,r2
PIRASA,3,28.47,27.947669347127277,3.8301596832275386,3.929660533055453,14.127331777729113,0.2477942755681971
BEZELYE,3,44.95333333333334,36.87262852986654,8.976099497477213,14.56746772072107,15.558286058573879,-0.480169298494979
BIBER SIVRI,3,60.99333333333333,47.164042154947914,13.829291178385416,21.1641977895419,17.652316464525306,-0.3729290788150834
KARPUZ,3,32.42333333333333,25.420220057169598,9.308498306274414,11.764453847357178,25.27912113305211,0.26773718744926045
PATLICAN UZUN,3,46.123333333333335,34.996323903401695,13.443178660074869,15.18304086609072,26.48333569440482,-0.6281985583865537
KABAK TAZE,3,41.156666666666666,32.942237854003906,12.533112182617188,15.307096947295893,28.092372889,-0.5828422041813586
BAKLA,2,51.155,34.1553840637207,16.999615936279298,20.551901146848397,29.721527580196337,-2.3944143553166297
LAHANA BEYAZ,3,21.133333333333336,20.08080546061198,5.977457427978517,6.727937776147253,30.65773000214344,-0.14371712258000047
MARUL,3,29.106666666666666,25.711520512898762,11.481069513956706,13.803759209927252,35.830186715829775,-0.6571239235573751
BROKOLI,3,63.633333333333326,47.364078521728516,24.253461964925133,26.81980287900327,36.33340179711615,-0.6703067493042869
DOMATES SALKIM,3,51.309999999999995,43.657246907552086,17.703745930989584,18.7178197256549,36.39781206880594,-0.1330039604477069
ISPANAK,3,47.11333333333332,30.278893152872723,21.343910191853837,26.008793935667576,40.02786263031205,-0.6384409492969714
SALATALIK SILOR,3,48.723333333333336,36.79771041870117,21.097618459065757,24.11472318526372,42.95051399895858,-0.7976898675573805
KARNABAHAR,3,36.39333333333334,33.719011306762695,13.571141281127929,15.296969273586383,44.052396589450844,0.12958698932553148
LAHANA KIRMIZI,3,36.38666666666666,26.813151041666668,16.253099263509114,19.210941867601285,45.52554154456635,-0.47889119131927327
