product_name,row_count,actual_avg_price,predicted_avg_price,mae,rmse,mape_percent,r2
PIRASA,3,28.47,21.92421453353167,6.6809478079897895,8.349919082935036,21.188265947430654,-2.3961831089061145
MARUL,3,29.106666666666666,20.92411440530475,10.201078919389072,14.52796785885368,27.803680873764264,-0.8355658872364866
KARPUZ,3,32.42333333333333,20.628664065361306,12.890572446201668,17.028924856017703,31.78160420140001,-0.5342562350127533
LAHANA BEYAZ,3,21.133333333333336,18.055365327537597,7.212311871929731,7.997962953044882,34.320779155359524,-0.6162683434200533
KABAK TAZE,3,41.156666666666666,24.42129982269095,16.735366843975722,19.856243181960057,35.88398029267881,-1.6634596513472517
BEZELYE,3,44.95333333333334,26.24838112184146,18.70495221149187,21.7087979920935,37.917220092162694,-2.287114391729177
ISPANAK,3,47.11333333333332,23.430097610986866,23.684713083322986,31.732250735934386,38.857897575890554,-1.4388894809023753
SALATALIK SILOR,3,48.723333333333336,25.39180422263387,23.331529110699464,28.507086006319486,40.592406300938855,-1.5122095407700016
DOMATES SALKIM,3,51.309999999999995,26.829692005004805,24.48030799499519,29.994894700654125,41.121041029718384,-1.9094814383142573
PATLICAN UZUN,3,46.123333333333335,25.317145518975675,20.80618781435766,23.30917942812123,41.31441525231441,-2.837459578400395
KARNABAHAR,3,36.39333333333334,25.180582506514458,17.01530859113373,20.628489266179233,43.51882168507834,-0.5828852505528579
BIBER SIVRI,3,60.99333333333333,29.215310902289875,31.778022431043453,36.9290539498633,47.8925522891995,-3.1800439149264896
LAHANA KIRMIZI,3,36.38666666666666,21.665224356848103,19.05323227408503,22.54753658122981,47.95555573091486,-1.0372161337533936
BAKLA,2,51.155,24.343538918317442,26.81146108168256,29.12743113400422,49.934708423446516,-5.818129080580317
BROKOLI,3,63.633333333333326,27.524620956917886,36.10871237641545,42.42336328391668,50.38843932476018,-3.1792203012495674
