|||Sütunlar||||||
Satırlar|||İzmir(Bayındır)-1178|İzmir(Bergama)-1181|İzmir(Menderes)-1826|İzmir(Tire)-1677|İzmir(Torbalı)-1682|İzmir(Ödemiş)-1563|
|||||||||
|||||||||
||2022|1050.0|12.0|180.0|1623.0|17938.0|7000.0|
||2023|1100.0|8.0|170.0|1300.0|12975.0|7000.0|
||2024|2600.0|102.0|160.0|1130.0|17828.0|5000.0|
||2025|2482.0|184.0|264.0|2638.0|22062.0|5073.0|
|Üretim Miktarı ve 01.11.61.00.02. (Barbunya, Taze) - Ton|2013|137.0|70.0||420.0||3600.0|
||2014|138.0|70.0||390.0||4500.0|
||2015|110.0|70.0||390.0||4500.0|
||2016|110.0|70.0||390.0||4500.0|
||2017|110.0|70.0||420.0||5000.0|
||2018|110.0|70.0||240.0||7900.0|
||2019|110.0|70.0||240.0||8000.0|
||2020|55.0|70.0||60.0||6000.0|
||2021|55.0|1.0||67.0||3750.0|
||2022|28.0|1.0||||5250.0|
||2023|22.0|2.0||||5250.0|
||2024|22.0|13.0||||5250.0|
||2025|14.0|51.0||||3750.0|
|Üretim Miktarı ve 01.11.62.00.00. (Bezelye, Taze) - Ton|2013|750.0|175.0||1237.0|3252.0|1372.0|
||2014|750.0|175.0||1125.0|3252.0|3001.0|
||2015|813.0|175.0||1163.0|2440.0|3001.0|
||2016|625.0|175.0||1280.0|2760.0|3001.0|
||2017|625.0|175.0||1200.0|1898.0|3876.0|
||2018|625.0|175.0||1600.0|1610.0|3500.0|
||2019|500.0|175.0||1600.0|1800.0|3500.0|
||2020|300.0|175.0||904.0|7686.0|1313.0|
||2021|650.0|20.0||817.0|6875.0|1575.0|
||2022|315.0|2.0||1095.0|7188.0|1400.0|
||2023|600.0|56.0||1038.0|7890.0|3500.0|
||2024|450.0|100.0||1000.0|8188.0|2625.0|
||2025|486.0|60.0||2775.0|10125.0|750.0|
|Üretim Miktarı ve 01.11.69.00.01. (Börülce, Taze) - Ton|2013|22.0|180.0|36.0|1400.0|3570.0|1700.0|
||2014|22.0|180.0|36.0|1280.0|3570.0|500.0|
||2015|22.0|180.0|36.0|1360.0|2678.0|500.0|
||2016|22.0|180.0|36.0|1160.0|2550.0|500.0|
||2017|22.0|180.0|51.0|1125.0|1624.0|750.0|
||2018|22.0|180.0|51.0|750.0|2584.0|375.0|
||2019|22.0|180.0|51.0|750.0|2210.0|300.0|
||2020|22.0|180.0|51.0|79.0|2063.0|225.0|
||2021|22.0|13.0|51.0|107.0|1470.0|200.0|
||2022|22.0|9.0|51.0|156.0|1088.0|300.0|
||2023|28.0|15.0|51.0|136.0|660.0|550.0|
||2024|28.0|160.0|51.0|121.0|750.0|150.0|
||2025|18.0|190.0|38.0|540.0|825.0|150.0|
|Üretim Miktarı ve 01.11.69.00.02. (Bakla, Taze) - Ton|2013|114.0|800.0|37.0|520.0|263.0|1125.0|
||2014|114.0|800.0|37.0|480.0|263.0|1125.0|
||2015|104.0|800.0|41.0|440.0|216.0|1125.0|
||2016|52.0|800.0|41.0|440.0|216.0|1125.0|
||2017|52.0|800.0|22.0|480.0|270.0|1125.0|
||2018|52.0|800.0|22.0|240.0|189.0|825.0|
||2019|26.0|800.0|22.0|240.0|288.0|825.0|
||2020|26.0|800.0|22.0|16.0|313.0|450.0|
||2021|26.0|111.0|18.0|13.0|395.0|225.0|
||2022|25.0|266.0|18.0||250.0|225.0|
||2023|20.0|160.0|18.0||180.0|300.0|
||2024|20.0|145.0|18.0||204.0|300.0|
||2025|11.0|113.0|12.0||176.0|375.0|
|Üretim Miktarı ve 01.13.12.00.01. (Lahana (Beyaz)) - Ton|2013|4875.0|1200.0|175.0|6900.0|1237.0|8000.0|
||2014|4875.0|1200.0|175.0|6000.0|1238.0|8000.0|
||2015|3750.0|1200.0|175.0|5850.0|1538.0|8000.0|
||2016|4490.0|1197.0|175.0|5836.0|3392.0|6984.0|
||2017|4500.0|1200.0|151.0|6000.0|3680.0|7000.0|
||2018|4500.0|1200.0|150.0|4500.0|3000.0|2000.0|
||2019|4500.0|1200.0|151.0|4500.0|3400.0|2000.0|
||2020|2100.0|1200.0|151.0|2100.0|11540.0|550.0|
||2021|1500.0|60.0|245.0|945.0|9471.0|3850.0|
||2022|1613.0|63.0|245.0|4195.0|9988.0|2750.0|
||2023|2956.0|144.0|245.0|8500.0|7400.0|5000.0|
||2024|4140.0|891.0|245.0|15500.0|8600.0|2750.0|
||2025|6808.0|556.0|388.0|7054.0|8162.0|2645.0|
|Üretim Miktarı ve 01.13.12.00.02. (Lahana (Kırmızı)) - Ton|2013|378.0|90.0|||760.0|360.0|
||2014|378.0|90.0|||760.0|360.0|
||2015|360.0|90.0|||1050.0|360.0|
||2016|360.0|90.0|||2338.0|360.0|
||2017|360.0|90.0|110.0||4200.0|360.0|
||2018|360.0|90.0|110.0||3700.0|240.0|
||2019|360.0|90.0|110.0||3750.0|240.0|
||2020|1225.0|90.0|110.0||3375.0|120.0|
||2021|1225.0|76.0|110.0||3125.0|120.0|
||2022|1400.0|11.0|110.0||3125.0|120.0|
||2023|1120.0|4.0|110.0||2970.0||
||2024|1280.0|75.0|110.0||4163.0||
||2025|1411.0|233.0|300.0||7875.0||
|Üretim Miktarı ve 01.13.12.00.04. (Lahana (Brüksel)) - Ton|2013|||||165.0||
||2014|||||165.0||
||2015|||||121.0||
||2016|||||330.0||
||2017|||||228.0||
||2018|||||456.0||
||2025|||||938.0||
|Üretim Miktarı ve 01.13.13.00.01. (Karnabahar) - Ton|2013|10360.0|1120.0|140.0|1500.0|2220.0|3000.0|
||2014|10360.0|1120.0|140.0|1500.0|2220.0|3500.0|
||2015|18500.0|1120.0|150.0|1515.0|2745.0|3500.0|
||2016|18500.0|1120.0|140.0|1575.0|8750.0|3500.0|
||2017|18500.0|1120.0|140.0|1800.0|9975.0|3500.0|
||2018|25900.0|1120.0|140.0|6000.0|9975.0|2800.0|
||2019|33300.0|1120.0|140.0|6000.0|9975.0|1750.0|
||2020|17500.0|480.0|140.0|3750.0|11390.0|525.0|
||2021|19250.0|32.0|140.0|14865.0|12545.0|2250.0|
||2022|21875.0|112.0|140.0|15000.0|10133.0|675.0|
||2023|21000.0|69.0|140.0|13500.0|8550.0|4500.0|
||2024|26775.0|389.0|140.0|18450.0|11550.0|3000.0|
||2025|52817.0|1429.0|209.0|25036.0|21991.0|4173.0|
|Üretim Miktarı ve 01.13.13.00.02. (Brokoli) - Ton|2013||625.0|380.0|150.0|918.0|500.0|
||2014||625.0|380.0|150.0|918.0|5000.0|
||2015||625.0|380.0|165.0|5904.0|5000.0|
||2016||625.0|380.0|225.0|10700.0|6300.0|
||2017||625.0|342.0|225.0|19188.0|6300.0|
||2018||250.0|342.0|1500.0|17900.0|6250.0|
||2019|4000.0|250.0|342.0|1500.0|22375.0|6250.0|
||2020|2780.0|250.0|247.0|1500.0|27966.0|6250.0|
||2021|3000.0|1955.0|308.0|5063.0|27025.0|8125.0|
||2022|3500.0|1963.0|308.0|7715.0|24400.0|8750.0|
||2023|3800.0|1668.0|308.0|6750.0|20845.0|10875.0|
||2024|3800.0|2048.0|760.0|13375.0|27375.0|11250.0|
||2025|4920.0|5750.0|1710.0|16125.0|45625.0|12500.0|
|Üretim Miktarı ve 01.13.14.00.01. (Marul (Kıvırcık)) - Ton|2013||400.0|1333.0||262.0|675.0|
||2014||400.0|1333.0||263.0|1440.0|
||2015||400.0|1550.0||235.0|1440.0|
||2016||396.0|4030.0||261.0|1427.0|
||2017||400.0|4030.0||525.0|1427.0|
||2018||400.0|5580.0||625.0|1427.0|
||2019||400.0|5580.0||735.0|1427.0|
||2020||400.0|5580.0||693.0|2500.0|
||2021||331.0|8370.0||574.0|43.0|
||2022||811.0|8370.0||1063.0|43.0|
||2023||173.0|9046.0||750.0||
||2024||704.0|8680.0||1500.0||
||2025||1046.0|15780.0||2399.0||
|Üretim Miktarı ve 01.13.14.00.02. (Marul (Göbekli)) - Ton|2013|1872.0|1280.0|7040.0|525.0|1275.0|1810.0|
||2014|1872.0|1280.0|7040.0|450.0|1245.0|3561.0|
||2015|2240.0|1280.0|7040.0|488.0|875.0|3561.0|
||2016|2253.0|1272.0|7040.0|540.0|800.0|3540.0|
||2017|2266.0|1280.0|7040.0|450.0|1060.0|3561.0|
||2018|1600.0|1280.0|2240.0|750.0|1674.0|3561.0|
||2019|2080.0|1280.0|2240.0|750.0|1639.0|3561.0|
||2020|2080.0|1280.0|2240.0|750.0|1133.0|2500.0|
||2021|2080.0|22.0|1344.0|1254.0|869.0|5525.0|
||2022|2240.0|20.0|1344.0|4686.0|1389.0|5525.0|
||2023|3400.0|144.0|480.0|6225.0|1229.0|4250.0|
||2024|4000.0|216.0|960.0|8400.0|1725.0|4000.0|
||2025|17016.0|87.0|323.0|20220.0|5441.0|4040.0|
|Üretim Miktarı ve 01.13.14.00.03. (Marul (İceberg)) - Ton|2013|||1519.0||||
||2014|||1519.0||||
||2015|||1550.0||||
||2016|||1550.0||135.0||
||2017|||1550.0||360.0||
||2018|||4030.0||450.0||
||2019|||4650.0||461.0||
||2020|||4650.0||261.0||
||2021|||2790.0||247.0||
||2022|||2790.0||638.0||
||2023|||1085.0||370.0|4250.0|
||2024|||620.0||500.0|4000.0|
||2025|||3744.0||805.0|4026.0|
|Üretim Miktarı ve 01.13.16.00.00. (Ispanak) - Ton|2013|90.0|350.0|126.0|550.0|1332.0|1000.0|
||2014|90.0|350.0|126.0|500.0|1332.0|200.0|
||2015|60.0|350.0|126.0|525.0|1146.0|200.0|
||2016|60.0|350.0|117.0|578.0|1125.0|250.0|
||2017|60.0|350.0|107.0|500.0|7669.0|250.0|
||2018|60.0|350.0|107.0|500.0|7750.0|200.0|
||2019|90.0|350.0|107.0|500.0|928.0|200.0|
||2020|350.0|350.0|107.0|365.0|776.0|100.0|
||2021|350.0|356.0|138.0|126.0|910.0|25.0|
||2022|300.0|144.0|138.0|173.0|1235.0|25.0|
||2023|180.0|53.0|89.0|270.0|1182.0|300.0|
||2024|180.0|258.0|89.0|280.0|1225.0||
||2025|124.0|503.0|223.0|150.0|938.0||
|Üretim Miktarı ve 01.13.17.00.00. (Enginar) - Ton|2013||300.0|416.0|38.0|1012.0||
||2014||300.0|416.0|38.0|1013.0||
||2015||300.0|416.0|38.0|975.0||
||2016||300.0|416.0|38.0|675.0||
||2017||300.0|377.0|45.0|788.0||
||2018||300.0|377.0|225.0|660.0||
||2019||300.0|377.0|225.0|915.0||
||2020||3.0|377.0|30.0|1689.0||
||2021|||358.0|5.0|1500.0||
||2022|850.0||358.0||1200.0||
||2023|1200.0||293.0||780.0||
||2024|1200.0||293.0||781.0||
||2025|623.0||260.0||1063.0||
|Üretim Miktarı ve 01.13.19.00.01. (Kereviz (Sap)) - Ton|2013||95.0|||||
||2014||95.0|||||
||2015||95.0|||||
||2016||95.0|||||
||2017||95.0|||||
||2018||95.0|||||
||2019||95.0|||||
||2020||95.0|||||
||2021||3.0|||||
||2022||1.0|||||
||2023||12.0|||||
||2024||12.0|||||
||2025||4.0|||||
|Üretim Miktarı ve 01.13.19.00.02. (Pazı) - Ton|2013||||53.0|||
||2014||||53.0|||
||2015||||53.0|||
||2016||||53.0|||
||2017||||45.0|||
||2018||||57.0|||
||2019||||57.0|||
||2020||||8.0|||
||2021||||3.0|||
|Üretim Miktarı ve 01.13.19.00.03. (Semizotu) - Ton|2013||10.0|||15.0||
||2014||10.0|||12.0||
||2015||10.0|||||
||2016||10.0|||5.0||
||2017||10.0|||5.0||
||2018||10.0|||5.0||
||2019||10.0|||||
||2020||10.0|||||
||2021||1.0|||||
||2022||1.0|||||
||2024||5.0|||||
||2025||5.0|||||
|Üretim Miktarı ve 01.13.19.00.04. (Maydanoz) - Ton|2013||25.0|80.0||702.0|36.0|
||2014||25.0|80.0||702.0|24.0|
||2015||25.0|80.0||342.0|24.0|
||2016||25.0|120.0||525.0|24.0|
||2017||25.0|120.0||1110.0|24.0|
||2018||25.0|120.0||1494.0|20.0|
||2019||25.0|120.0||1380.0|20.0|
||2020||25.0|120.0||693.0|20.0|
||2021||19.0|350.0||670.0|12.0|
||2022||13.0|350.0||1780.0|10.0|
||2023||20.0|345.0||925.0|30.0|
||2024||139.0|300.0||958.0||
||2025||161.0|330.0||1105.0||
|Üretim Miktarı ve 01.13.19.00.05. (Roka) - Ton|2013||15.0|80.0||160.0||
||2014||15.0|80.0||158.0||
||2015||15.0|80.0||58.0||
||2016||15.0|100.0||180.0||
||2017||15.0|100.0||510.0||
||2018||15.0|100.0||1252.0||
||2019||15.0|100.0||1120.0||
||2020||15.0|100.0||493.0||
||2021||3.0|210.0||460.0||
||2022||2.0|225.0||485.0||
||2023||1.0|180.0||958.0||
||2024||56.0|210.0||946.0||
||2025||44.0|150.0||755.0||
|Üretim Miktarı ve 01.13.19.00.06. (Tere) - Ton|2013||15.0|||68.0||
||2014||15.0|||68.0||
||2015||15.0|||50.0||
||2016||15.0|||80.0||
||2017||15.0|||191.0||
||2018||15.0|||190.0||
||2019||15.0|||167.0||
||2020||15.0|||132.0||
||2021||1.0|||118.0||
||2022||1.0|||66.0||
||2023||2.0|||35.0||
||2024|||||63.0||
||2025|||||35.0||
|Üretim Miktarı ve 01.13.19.00.07. (Nane) - Ton|2013||18.0|||210.0||
||2014||18.0|||210.0||
||2015||18.0|||156.0||
||2016||18.0|||105.0||
||2017||18.0|||243.0||
||2018||18.0|||240.0||
||2019||18.0|||203.0||
||2020||18.0|||88.0||
||2021||1.0|||104.0||
||2022||1.0|||80.0||
||2023|||||50.0||
||2024|||||60.0||
||2025|||||55.0||
|Üretim Miktarı ve 01.13.19.00.08. (Dereotu) - Ton|2013||12.0|||36.0||
||2014||12.0|||36.0||
||2015||12.0|||54.0||
||2016||12.0|||50.0||
||2017||12.0|||130.0||
||2018||12.0|||70.0||
||2019||12.0|||100.0||
||2020||12.0|||78.0||
||2021||5.0|||85.0||
||2022||5.0|||196.0||
||2023||9.0|||68.0||
||2024||19.0|||75.0||
||2025||23.0|||45.0||
|Üretim Miktarı ve 01.13.21.00.00. (Karpuz) - Ton|2013|20000.0|3300.0|19400.0|54272.0|19125.0|60000.0|
||2014|20000.0|3080.0|19440.0|56000.0|19125.0|97500.0|
||2015|20028.0|3084.0|19469.0|53881.0|10096.0|97635.0|
||2016|20000.0|3080.0|19440.0|39000.0|8325.0|97500.0|
||2017|20000.0|2750.0|18640.0|39000.0|5220.0|97500.0|
||2018|20000.0|2750.0|18640.0|15000.0|5085.0|78000.0|
||2019|11000.0|2750.0|18640.0|14250.0|4092.0|71500.0|
||2020|6525.0|2750.0|4800.0|2550.0|4803.0|9000.0|
||2021|6336.0|471.0|4412.0|2319.0|5313.0|11250.0|
||2022|6525.0|218.0|4412.0|3465.0|5400.0|22500.0|
||2023|6750.0|126.0|4412.0|3078.0|5000.0|11250.0|
||2024|6750.0|443.0|4412.0|4050.0|6740.0|11250.0|
||2025|10868.0|489.0|6000.0|9450.0|11475.0|12500.0|
|Üretim Miktarı ve 01.13.29.00.00. (Kavun) - Ton|2013|3000.0|2560.0|734.0|18000.0|1750.0|600.0|
||2014|3000.0|2400.0|752.0|18000.0|1750.0|600.0|
||2015|1800.0|2400.0|779.0|18000.0|975.0|600.0|
||2016|1800.0|2400.0|779.0|13750.0|1625.0|200.0|
||2017|1800.0|2000.0|567.0|15000.0|2405.0|200.0|
||2018|1800.0|2000.0|567.0|12500.0|1375.0|100.0|
||2019|1800.0|2000.0|567.0|11875.0|1250.0|100.0|
||2020|1275.0|2000.0|567.0|2688.0|823.0|20.0|
||2021|850.0|302.0|567.0|2317.0|805.0|40.0|
||2022|900.0|300.0|567.0|3474.0|588.0|40.0|
||2023|555.0|179.0|567.0|2073.0|483.0||
||2024|370.0|321.0|567.0|1883.0|938.0||
||2025|616.0|619.0|1260.0|2450.0|1125.0|200.0|
|Üretim Miktarı ve 01.13.31.00.01. (Biber (Salçalık, Kapya)) - Ton|2013|800.0|5000.0|4500.0|30000.0|6875.0|18000.0|
||2014|800.0|5000.0|4620.0|30000.0|6875.0|6000.0|
||2015|2240.0|5000.0|4620.0|29000.0|4209.0|6000.0|
||2016|2240.0|5000.0|4659.0|30680.0|4370.0|6000.0|
||2017|5440.0|5000.0|5250.0|30000.0|4485.0|6000.0|
||2018|3200.0|3750.0|5730.0|25000.0|4342.0|4950.0|
||2019|3220.0|3750.0|5730.0|25000.0|4560.0|3000.0|
||2020|3500.0|3750.0|6810.0|17500.0|3953.0|4000.0|
||2021|4200.0|2208.0|6840.0|11029.0|4940.0|200.0|
||2022|3200.0|2614.0|6840.0|20629.0|4165.0|200.0|
||2023|3150.0|3669.0|6840.0|17850.0|2888.0|3500.0|
||2024|3150.0|6535.0|6840.0|16975.0|8600.0|350.0|
||2025|4498.0|3849.0|5700.0|15750.0|8050.0|675.0|
|Üretim Miktarı ve 01.13.31.00.02. (Biber (Dolmalık)) - Ton|2013|2720.0|1800.0|3795.0|900.0|7695.0|750.0|
||2014|2720.0|1440.0|4050.0|900.0|7689.0|750.0|
||2015|2560.0|1875.0|6960.0|825.0|3299.0|750.0|
||2016|2549.0|2195.0|7078.0|926.0|1822.0|747.0|
||2017|2560.0|1225.0|7122.0|900.0|2304.0|750.0|
||2018|2560.0|1225.0|6712.0|450.0|3471.0|300.0|
||2019|2560.0|1225.0|6712.0|450.0|5020.0|150.0|
||2020|525.0|1225.0|7088.0|53.0|3755.0|90.0|
||2021|350.0|46.0|7117.0|53.0|4165.0|30.0|
||2022|140.0|71.0|7122.0||3604.0|30.0|
||2023|105.0|18.0|7067.0||2494.0||
||2024|105.0|56.0|4617.0||3430.0||
||2025|648.0|224.0|2850.0||4005.0||
|Üretim Miktarı ve 01.13.31.00.03. (Biber (Sivri)) - Ton|2013|7353.0|1499.0|1826.0|2099.0|4931.0|5994.0|
||2014|7360.0|1500.0|1900.0|2100.0|4926.0|4500.0|
||2015|5760.0|1500.0|4474.0|2025.0|5495.0|4500.0|
||2016|5749.0|1497.0|4600.0|2021.0|5164.0|4491.0|
||2017|2560.0|1500.0|5011.0|1800.0|5065.0|4499.0|
||2018|2560.0|1500.0|5006.0|1500.0|5529.0|5248.0|
||2019|2560.0|1500.0|4616.0|1500.0|6095.0|6000.0|
||2020|9200.0|1500.0|5764.0|473.0|5558.0|6000.0|
||2021|7600.0|108.0|5764.0|569.0|5712.0|2000.0|
||2022|6060.0|127.0|5764.0||6234.0|2000.0|
||2023|4640.0|194.0|5342.0||4380.0|6000.0|
||2024|4480.0|719.0|3152.0||5535.0|5250.0|
||2025|4867.0|779.0|1944.0||5700.0|3500.0|
|Üretim Miktarı ve 01.13.32.00.01. (Hıyar (Sofralık)) - Ton|2013|21500.0|2404.0|147288.0|1300.0|2250.0|6280.0|
||2014|21500.0|2404.0|152088.0|1200.0|2250.0|6400.0|
||2015|21500.0|2404.0|112584.0|1200.0|2708.0|6400.0|
||2016|12900.0|2404.0|116904.0|1200.0|2170.0|5210.0|
||2017|8600.0|2196.0|120936.0|1200.0|2710.0|5900.0|
||2018|6450.0|1856.0|101580.0|600.0|2138.0|4600.0|
||2019|4300.0|1844.0|98600.0|600.0|1623.0|4400.0|
||2020|508.0|1788.0|98600.0|240.0|1331.0|4500.0|
||2021|350.0|1432.0|98600.0|236.0|1225.0|450.0|
||2022|350.0|1583.0|98600.0|414.0|948.0|450.0|
||2023|350.0|244.0|99000.0|372.0|900.0|9000.0|
||2024|350.0|579.0|108000.0|320.0|1035.0|6750.0|
||2025|436.0|349.0|88439.0|9480.0|894.0|4510.0|
|Üretim Miktarı ve 01.13.33.00.00. (Patlıcan) - Ton|2013|6598.0|2700.0|946.0|4499.0|1555.0|9398.0|
||2014|6600.0|2520.0|1046.0|4500.0|1555.0|6000.0|
||2015|3300.0|2520.0|1076.0|4440.0|748.0|6000.0|
||2016|3300.0|2520.0|1451.0|4575.0|1063.0|6000.0|
||2017|3300.0|2160.0|2234.0|4500.0|1153.0|7600.0|
||2018|3300.0|2160.0|2584.0|1500.0|990.0|8000.0|
||2019|2640.0|2160.0|4153.0|1560.0|1318.0|8000.0|
||2020|1200.0|2160.0|7800.0|555.0|504.0|6000.0|
||2021|1600.0|139.0|7800.0|504.0|704.0|600.0|
||2022|1401.0|94.0|7802.0||536.0|600.0|
||2023|1401.0|83.0|7830.0||324.0|2800.0|
||2024|1600.0|826.0|12150.0||716.0|2800.0|
||2025|1408.0|703.0|8500.0||616.0|2000.0|
|Üretim Miktarı ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|2013|14947.0|88276.0|4970.0|2198.0|42286.0|15568.0|
||2014|15224.0|84121.0|5045.0|2239.0|42987.0|23413.0|
||2015|13726.0|85315.0|5028.0|2727.0|31456.0|22833.0|
||2016|14202.0|103170.0|6750.0|3135.0|30563.0|39316.0|
||2017|13882.0|103441.0|5668.0|3034.0|22625.0|46028.0|
||2018|6954.0|89351.0|3669.0|5066.0|12434.0|49971.0|
||2019|6954.0|87380.0|5910.0|5050.0|6075.0|49266.0|
||2020|3500.0|85810.0|15010.0|2020.0|7678.0|45000.0|
||2021|2500.0|34068.0|12559.0|4020.0|8963.0|14000.0|
||2022|1507.0|34754.0|7057.0|5970.0|6138.0|22606.0|
||2023|1507.0|23954.0|3790.0|4845.0|6625.0|35000.0|
||2024|5000.0|90970.0|4680.0|4335.0|18109.0|16000.0|
||2025|5107.0|90043.0|2457.0|10732.0|39597.0|15010.0|
|Üretim Miktarı ve 01.13.39.00.02. (Kabak (Sakız)) - Ton|2013|3500.0|680.0|620.0|1250.0|1575.0|630.0|
||2014|3500.0|680.0|700.0|1125.0|1575.0|660.0|
||2015|2800.0|680.0|710.0|1125.0|1155.0|660.0|
||2016|2800.0|680.0|710.0|980.0|1050.0|711.0|
||2017|2800.0|680.0|780.0|1000.0|1418.0|722.0|
||2018|2800.0|680.0|780.0|750.0|927.0|502.0|
||2019|2100.0|680.0|780.0|750.0|875.0|375.0|
||2020|311.0|705.0|809.0|176.0|607.0|415.0|
||2021|300.0|30.0|760.0|109.0|555.0|125.0|
||2022|500.0|23.0|760.0||439.0|125.0|
||2023|375.0|20.0|760.0||330.0||
||2024|375.0|287.0|760.0||473.0|175.0|
||2025|330.0|304.0|660.0||376.0|175.0|
|Üretim Miktarı ve 01.13.43.00.02. (Soğan (Kuru)) - Ton|2013||1805.0||||100.0|
||2014||1805.0||||100.0|
||2015||1805.0||||100.0|
||2016||1900.0||||60.0|
||2017||1701.0|||||
||2018||1520.0|||||
||2019||1800.0|||||
||2020||35.0|||||
||2021||25.0|||||
||2022||65.0|||||
||2023||80.0|||||
||2024||106.0|||||
||2025||57.0|||||
|Üretim Miktarı ve 01.13.44.00.01. (Pırasa) - Ton|2013|1800.0|1000.0|240.0|1375.0|9000.0|5200.0|
||2014|1800.0|1000.0|240.0|1250.0|9000.0|2000.0|
||2015|1200.0|1000.0|240.0|1250.0|11720.0|2000.0|
||2016|1196.0|996.0|239.0|1246.0|18331.0|1993.0|
||2017|1200.0|1000.0|239.0|1250.0|14700.0|2000.0|
||2018|1200.0|1000.0|239.0|750.0|39760.0|1600.0|
||2019|480.0|1000.0|239.0|750.0|42742.0|1600.0|
||2020|640.0|100.0|239.0|288.0|41091.0|800.0|
||2021|920.0|96.0|239.0|389.0|30600.0|300.0|
||2022|1600.0|113.0|239.0|545.0|23670.0|300.0|
||2023|1400.0|131.0|239.0|377.0|26200.0|1000.0|
||2024|800.0|831.0|239.0|251.0|27480.0|400.0|
||2025|1556.0|912.0|239.0|1600.0|27200.0|400.0|
|Üretim Miktarı ve 01.13.49.01.00. (Kırmızı Pancar) - Ton|2013||||880.0||300.0|
||2014||||880.0||300.0|
||2015||||880.0||300.0|
||2016||||880.0||240.0|
||2017||||800.0||240.0|
||2018||||800.0||150.0|
||2019|440.0|||800.0||90.0|
||2020|600.0|||376.0||90.0|
||2021|600.0|||488.0||30.0|
||2022|900.0|||704.0||30.0|
||2023|800.0|||1304.0|||
||2024|1000.0|||800.0|||
||2025|724.0|||720.0|||
|Üretim Miktarı ve 01.13.49.02.00. (Kereviz (Kök)) - Ton|2013|575.0|765.0|85.0|255.0|1650.0||
||2014|575.0|765.0|86.0|255.0|1650.0||
||2015|575.0|765.0|86.0|255.0|1843.0||
||2016|575.0|765.0|86.0|255.0|4800.0||
||2017|575.0|765.0|76.0|225.0|7050.0||
||2018|575.0|765.0|76.0|150.0|7950.0||
||2019|575.0|765.0|76.0|150.0|9275.0||
||2020|500.0|54.0|76.0|128.0|8921.0||
||2021|500.0|122.0|105.0|20.0|7950.0||
||2022|525.0|94.0|105.0||9345.0||
||2023|625.0|71.0|105.0||7650.0||
||2024|1125.0|620.0|105.0||12425.0||
||2025|645.0|581.0|152.0||13125.0||
|Üretim Miktarı ve 01.13.49.03.01. (Turp (Bayır)) - Ton|2013||105.0||||300.0|
||2014||105.0||||300.0|
||2015||105.0||||300.0|
||2016||103.0||||294.0|
||2017||105.0||||300.0|
||2018||105.0||||150.0|
||2019||105.0||||90.0|
||2020||105.0||||60.0|
||2021||3.0||||30.0|
||2022||3.0|||||
||2023||12.0|||||
||2024||41.0|||||
||2025||26.0|||||
|Üretim Miktarı ve 01.13.49.03.02. (Turp (Kırmızı)) - Ton|2013||60.0||427.0||200.0|
||2014|780.0|60.0||375.0||200.0|
||2015|780.0|60.0||345.0||200.0|
||2016|780.0|60.0||345.0||200.0|
||2017|780.0|60.0||300.0||200.0|
||2018|780.0|60.0||300.0||100.0|
||2019|260.0|60.0||300.0||60.0|
||2020|130.0|60.0||90.0||60.0|
||2021|195.0|33.0||150.0||20.0|
||2022|130.0|44.0||212.0|||
||2023|390.0|20.0||203.0|||
||2024|130.0|96.0||203.0|||
||2025|98.0|131.0||195.0|||
|||||||||
